Rule,Support,Confidence,Lift,Item1,Item2,Item3,Consequent
rule59,0.055,0.649,1.791,eggs, ice cream, pasta,paper towels
rule58,0.055,0.643,1.731,paper towels, eggs, ice cream,pasta
rule21,0.051,0.674,1.726,bagels, cereals, sandwich bags,cheeses
rule3,0.050,0.640,1.700,yogurt, toilet paper, aluminum foil,juice
rule18,0.051,0.630,1.678,yogurt, poultry, aluminum foil,mixes
rule20,0.051,0.611,1.660,cheeses, bagels, cereals,sandwich bags
rule52,0.054,0.642,1.651,spaghetti sauce, poultry, laundry detergent,dinner rolls
rule40,0.052,0.641,1.649,spaghetti sauce, poultry, ice cream,dinner rolls
rule7,0.050,0.620,1.645,yogurt, poultry, aluminum foil,juice
rule43,0.052,0.686,1.628,dinner rolls, spaghetti sauce, ice cream,poultry
rule49,0.052,0.634,1.627,paper towels, dinner rolls, pasta,eggs
rule24,0.051,0.630,1.621,spaghetti sauce, poultry, cereals,dinner rolls
rule50,0.052,0.602,1.621,paper towels, eggs, dinner rolls,pasta
rule11,0.050,0.613,1.616,yogurt, cheeses, cereals,coffee/tea
rule57,0.055,0.630,1.616,paper towels, ice cream, pasta,eggs
rule44,0.052,0.628,1.614,spaghetti sauce, poultry, juice,dinner rolls
rule35,0.052,0.628,1.610,dinner rolls, poultry, soda,eggs
rule54,0.054,0.598,1.603,dinner rolls, poultry, laundry detergent,spaghetti sauce
rule29,0.051,0.604,1.589,poultry, laundry detergent, cereals,milk
rule42,0.052,0.590,1.581,dinner rolls, poultry, ice cream,spaghetti sauce
rule45,0.052,0.584,1.566,dinner rolls, poultry, juice,spaghetti sauce
rule56,0.055,0.624,1.565,paper towels, eggs, pasta,ice cream
rule51,0.052,0.567,1.565,eggs, dinner rolls, pasta,paper towels
rule12,0.050,0.588,1.564,dishwashing liquid/detergent, poultry, laundry detergent,mixes
rule22,0.051,0.617,1.558,cheeses, bagels, sandwich bags,cereals
rule55,0.054,0.656,1.556,dinner rolls, spaghetti sauce, laundry detergent,poultry
rule1,0.050,0.594,1.544,yogurt, toilet paper, juice,aluminum foil
rule8,0.050,0.588,1.528,cheeses, cereals, coffee/tea,yogurt
rule9,0.050,0.594,1.520,yogurt, cereals, coffee/tea,cheeses
rule28,0.051,0.574,1.518,poultry, milk, cereals,laundry detergent
rule27,0.051,0.637,1.512,dinner rolls, spaghetti sauce, cereals,poultry
rule23,0.051,0.580,1.505,cheeses, cereals, sandwich bags,bagels
rule48,0.052,0.584,1.502,paper towels, eggs, pasta,dinner rolls
rule870,0.083,0.563,1.498,sandwich loaves, lunch meat,,individual meals
